票,phio3
當選矣,tong3-suan2--ah4
倒,to2,to3
幾若,kui2-na7,kui2-lo7
億呢,ik4--neh4
規氣,kui1-khi3
跳樓,thiau3-lau5
死死咧,si2-si2--leh4
好矣,ho2--ah4
欠,khiam3
一二十萬,it4-ji7-tsap8-ban7
立,lip8
長短,tng5-te2
一兩百外,tsit8-nng7-pah4-gua7
手頭,tshiu2-thau5
夠,kau3
二三十,ji7-sann1-tsap8
箍銀,khoo1-gin5
股市,koo2-tshi7
三百萬,sann1-pah4-ban7
厝內,tshu3-lai7
支,ki1
喙,tshui3
飼,tshi7
八,peh4,pat4,pueh4
生鉎,senn1-sian1
有夠,u7-kau3
討債,tho2-tse3
根據,kin1-ki3
民意,bin5-i3
調查,tiau5-tsa1,tiau1-tsa1
民眾,bin5-tsiong3
水,tsui2
塑膠,sok4-ka1
表示,piau2-si7
意見,i3-kian3
命,mia7
陣,tin7,tsun7
鹿港,lok8-kang2
點半,tiam2-puann3
鐘,tsing1
這站,tsit4-tsam7
出發,tshut4-huat4
下晡,e7-poo1
點外,tiam2-gua7
嘉義,ka1-gi7
坐咧,tse7--leh4,tse7-leh4
巡巡咧,sun5-sun5--leh4
看著,khuann3-tioh8,khuann3--tioh8
看著的,khuann3--tioh8--e5
烏枋,oo1-pang1
有機的,iu2-ki1--e5
雖然,sui1-lian5,sui1-jian5
想過,siunn7--kue3,siunn7-kue3
未來,bi7-lai5
刣過,thai5-kue3
雞仔,ke1-a2
驚,kiann1
小妹,sio2-mue7
迒,hann7
溝仔,kau1-a2
回,hue5
逃,to5
過啊,kue3--ah4
料理,liau7-li2
百百款,pah4-pah4-khuan2
賊仔,tshat8-a2
拄著,tu2-tioh8
阿土伯,a1-thoo2-peh4
阮的,gun2--e5
像,tshiunn7,siong7
竟然,king3-lian5,king3-jian5
大兄,tua7-hiann1
夢著,bang7-tioh8
阿爸,a1-pah4
四界,si3-ke3
行來行去,kiann5-lai5-kiann5-khi3
揣你,tshue7--li2
攑,giah8
按算,an3-sng3
刣我,thai5--gua2
劍,kiam3
刣人,thai5--lang5
抾著,khioh4--tioh8,khioh4-tioh8
狗,kau2
走著,tsau2-tioh8
寒著,kuann5--tioh8
神明桌,sin5-bing5-toh4
硞著的,khok8--tioh8--e5
空喙,khang1-tshui3
割割著的,kuah4-kuah4--tioh8--e5
阿木仔,a1-bok8--a2
無呢,bo5--neh4
可能啦,kho2-ling5--lah4
娶,tshua7
經過,king1-kue3
無意中,bo5-i3-tiong1
頭家娘,thau5-ke1-niu5
聽著,thiann1-tioh8,thiann1--tioh8
嫁矣,ke3--ah4
消息,siau1-sit4
牽的,khan1--e5
喙仔,tshui3-a2
裂獅獅,lih8-sai1-sai1
網路頂,bang7-loo7-ting2
應該,ing1-kai1
歹勢,phainn2-se3,phai2-se3
紅豆冰,ang5-tau7-ping1
愛的,ai3--e5
相信,siong1-sin3
家己,ka1-ti7,ka1-ki7
一定,it4-ting7
奅,phann7
男朋友,lam5-ping5-iu2
作者,tsok4-tsia2
出名,tshut4-mia5
冊店,tsheh4-tiam3
唱片,tshiunn3-phinn3
銷路,siau1-loo7
佳哉,ka1-tsai3
全部,tsuan5-poo7
臆臆著,ioh4-ioh4--tioh8
清明,tshing1-bing5
厝,tshu3
阿萬仔,a1-ban7--a2
轉去,tng2-khi3,tng2--khi3
喜酒,hi2-tsiu2
菜尾,tshai3-bue2
盒,ap8
餅,piann2
看覓,khuann3-mai7
買轉去,be2--tng2-khi3
紮轉去,tsah4--tng2-khi3
趕緊,kuann2-kin2
行李,hing5-li2
寄寄轉去,kia3-kia3--tng2-khi3
轉來矣,tng2--lai5--ah4
拜拜,pai3-pai3
多謝,to1-sia7
阿寶,a1-po2
揣轉來,tshue7--tng2-lai5
鬥,tau3
阿達,a1-tat8
倒轉來,to3-tng2--lai5,to2--tng2-lai5
先,sing1
買買轉來,be2-be2--tng2-lai5
落飯,loh8-png7
落肥,loh8-pui5
顛倒,thian1-to2,tian1-to3
傷著,siong1-tioh8
根,kin1
日頭,jit8-thau5
落海,loh8-hai2
規,kui1
面,bin7
消落去,siau1--loh8-khi3
食一寡,tsiah8--tsit8-kua2
山頂,suann1-ting2
地,te3
停,thing5
駛,sai2
落去,loh8-khi3,loh8--khi3
山跤,suann1-kha1
行行落去,kiann5-kiann5--loh8-khi3
落去喔,loh8--khi3--ooh4
口,khau2,khio2
恁爸,lin2-pe7
吞,thun1
梯,thui1
搬落來,puann1--loh8-lai5
學,oh8
稻仔,tiu7-a2
割落來,kuah4--loh8-lai5
跳落來的,thiau3--loh8-lai5--e5
好膽,ho2-tann2
拜過的,pai3--kue3--e5
提提落來,theh8-theh8--loh8-lai5
出去,tshut4--khi3,tshut4-khi3
計程仔,ke3-ting5-a2,khe3-ting5-a2
歹人,phainn2-lang5
運,un7
國外,kok4-gua7
飯,png7
捀,phang5
