hueh4 1.0	hueh4
kuan1-hueh4-tiong1-sim1 1.0	kuan1 hueh4 tiong1 sim1
kiam2-tsa1 1.0	kiam2 tsa1
b 1.0	b
c 1.0	c
kuann1-penn7--bo5 1.0	kuann1 penn7 bo5
hong3-sim1 1.0	hong3 sim1
c-kuann1 1.0	c kuann1
ioh8-a2 1.0	ioh8 a2
ji7-sann1-tsap8-ban7 1.0	ji7 sann1 tsap8 ban7
khing2 1.0	khing2
h-tshit4-n-kiu2 1.0	h tshit4 n kiu2
ke1-tse1 1.0	ke1 tse1
penn7-tok8 1.0	penn7 tok8
sa̋m1-phu2-luh4 1.0	sa̋m1 phu2 luh4
li7 1.0	li7
khong1 1.0	khong1
liu5-kam2 1.0	liu5 kam2
ke3 1.0	ke3
tu5-liau2 1.0	tu5 liau2
h-sam1-n-ji7 1.0	h sam1 n ji7
h-one1-n-one1--e5 1.0	h one1 n one1 e5
i2-gua7 1.0	i2 gua7
tsiong3 1.0	tsiong3
khong3-guan5 1.0	khong3 guan5
se3-pau1 1.0	se3 pau1
tsai7 1.0	tsai7
ki1-in1 1.0	ki1 in1
dna 1.0	dna
tsuan2-lok8 1.0	tsuan2 lok8
rna 1.0	rna
ū-e5 1.0	ū e5
tsuan2-ik8 1.0	tsuan2 ik8
su1-iau3 1.0	su1 iau3
nng7-peh8-tsit4 1.0	nng7 peh8 tsit4
ta1-poo1 1.0	ta1 poo1
tsha1 1.0	tsha1
te7-ji7-tsap8-sann1 1.0	te7 ji7 tsap8 sann1
ni2-sik4-the2 1.0	ni2 sik4 the2
xx 1.0	xx
xy 1.0	xy
giam7 1.0	giam7
tshin1-lang5 1.0	tshin1 lang5
fans1 1.0	fans1
kin1-a2-jı̍t 1.0	kin1 a2 jı̍t
in 1.0	in
tian7-hue2 1.0	tian7 hue2
uann7 1.0	uann7
led--e5 1.0	led e5
ka1 1.0	ka1
kng1--e5 1.0	kng1 e5
a-ling5 1.0	a ling5
tioh8-siong1 1.0	tioh8 siong1
a1 1.0	a1
ok-pang2 1.0	ok pang2
tah4 1.0	tah4
thiann1-kong2 1.0	thiann1 kong2
tshiong1--e5 1.0	tshiong1 e5
ps-four1--ah4 1.0	ps four1 ah4
bat4 1.0	bat4
ps-two1 1.0	ps two1
microsoft1 1.0	microsoft1
x-box1 1.0	x box1
lak8 1.0	lak8
be7 1.0	be7
office1 1.0	office1
word1 1.0	word1
khiam7-tso3 1.0	khiam7 tso3
odt 1.0	odt
tong2 1.0	tong2
phah4-liau2 1.0	phah4 liau2
pdf 1.0	pdf
in3 1.0	in3
excel1 1.0	excel1
soo3 1.0	soo3
siong7-kho3 1.0	siong7 kho3
powerpoint1 1.0	powerpoint1
tau5-iann2-phinn3 1.0	tau5 iann2 phinn3
tan2--gua2--tsit8-e7 1.0	tan2 gua2 tsit8 e7
siooh4-tooh4-siooh4-tooh4 1.0	siooh4 tooh4 siooh4 tooh4
tann1 1.0	tann1
outlook4 1.0	outlook4
be7-tin2-be7-tang7 1.0	be7 tin2 be7 tang7
tso3-ho2 1.0	tso3 ho2
ppt 1.0	ppt
sing1 1.0	sing1
ki3 1.0	ki3
hun7 1.0	hun7
phinn7-phang1--tsit8-e7 1.0	phinn7 phang1 tsit8 e7
tong2-an3 1.0	tong2 an3
thuan5-khi3 1.0	thuan5 khi3
drive1 1.0	drive1
pun1-tiunn1 1.0	pun1 tiunn1
hong1-pian7 1.0	hong1 pian7
tsu1-liau7 1.0	tsu1 liau7
khng3 1.0	khng3
dropbox4 1.0	dropbox4
iu2-pih4 1.0	iu2 pih4
kiann1 1.0	kiann1
ssd 1.0	ssd
ping1-ki5-lim5 1.0	ping1 ki5 lim5
tsham1 1.0	tsham1
